"","nc","delta1","delta2","pow","ess"
"370",30,0,0.12,0.1,47.2936629048304
"371",30,0,0.14,0.4,44.9805046983799
"372",30,0,0.16,0.5,41.7288382756376
"373",30,0,0.18,0.6,37.6474590080064
"374",30,0,0.2,0.7,33.0234784081251
"375",30,0.02,0,0,49.9997324372054
"376",30,0.02,0.02,0,49.999093702372
"377",30,0.02,0.04,0,49.9795256482886
"378",30,0.02,0.06,0,49.8688134519841
"379",30,0.02,0.08,0,49.5245294074348
"380",30,0.02,0.1,0,48.7432767179266
"381",30,0.02,0.12,0,47.2936629048304
"382",30,0.02,0.14,0,44.9805046983799
"383",30,0.02,0.16,0,41.7288382756376
"384",30,0.02,0.18,0,37.6474590080064
"385",30,0.02,0.2,0,33.0234784081251
"386",30,0.04,0,0.3,49.9997324372054
"387",30,0.04,0.02,0.1,49.999093702372
"388",30,0.04,0.04,0,49.9795256482886
"389",30,0.04,0.06,0,49.8688134519841
"390",30,0.04,0.08,0,49.5245294074348
"391",30,0.04,0.1,0,48.7432767179266
"392",30,0.04,0.12,0,47.2936629048304
"393",30,0.04,0.14,0,44.9805046983799
"394",30,0.04,0.16,0,41.7288382756376
"395",30,0.04,0.18,0,37.6474590080064
"396",30,0.04,0.2,0,33.0234784081251
"397",30,0.06,0,1,49.9997324372054
"398",30,0.06,0.02,1,49.999093702372
"399",30,0.06,0.04,0.6,49.9795256482886
"400",30,0.06,0.06,0.1,49.8688134519841
"401",30,0.06,0.08,0,49.5245294074348
"402",30,0.06,0.1,0,48.7432767179266
"403",30,0.06,0.12,0,47.2936629048304
"404",30,0.06,0.14,0,44.9805046983799
"405",30,0.06,0.16,0,41.7288382756376
"406",30,0.06,0.18,0,37.6474590080064
"407",30,0.06,0.2,0,33.0234784081251
"408",30,0.08,0,1,49.9997324372054
"409",30,0.08,0.02,1,49.999093702372
"410",30,0.08,0.04,0.9,49.9795256482886
"411",30,0.08,0.06,1,49.8688134519841
"412",30,0.08,0.08,0.7,49.5245294074348
"413",30,0.08,0.1,0.3,48.7432767179266
"414",30,0.08,0.12,0,47.2936629048304
"415",30,0.08,0.14,0,44.9805046983799
"416",30,0.08,0.16,0,41.7288382756376
"417",30,0.08,0.18,0,37.6474590080064
"418",30,0.08,0.2,0,33.0234784081251
"419",30,0.1,0,1,49.9997324372054
"420",30,0.1,0.02,1,49.999093702372
"421",30,0.1,0.04,1,49.9795256482886
"422",30,0.1,0.06,1,49.8688134519841
"423",30,0.1,0.08,1,49.5245294074348
"424",30,0.1,0.1,1,48.7432767179266
"425",30,0.1,0.12,0.8,47.2936629048304
"426",30,0.1,0.14,0.3,44.9805046983799
"427",30,0.1,0.16,0.1,41.7288382756376
"428",30,0.1,0.18,0,37.6474590080064
"429",30,0.1,0.2,0,33.0234784081251
"430",30,0.12,0,1,49.9997324372054
"431",30,0.12,0.02,1,49.999093702372
"432",30,0.12,0.04,1,49.9795256482886
"433",30,0.12,0.06,1,49.8688134519841
"434",30,0.12,0.08,1,49.5245294074348
"435",30,0.12,0.1,1,48.7432767179266
"436",30,0.12,0.12,1,47.2936629048304
"437",30,0.12,0.14,1,44.9805046983799
"438",30,0.12,0.16,1,41.7288382756376
"439",30,0.12,0.18,0.8,37.6474590080064
"440",30,0.12,0.2,0.6,33.0234784081251
"441",30,0.14,0,1,49.9997324372054
"442",30,0.14,0.02,1,49.999093702372
"443",30,0.14,0.04,1,49.9795256482886
"444",30,0.14,0.06,1,49.8688134519841
"445",30,0.14,0.08,1,49.5245294074348
"446",30,0.14,0.1,1,48.7432767179266
"447",30,0.14,0.12,1,47.2936629048304
"448",30,0.14,0.14,1,44.9805046983799
"449",30,0.14,0.16,1,41.7288382756376
"450",30,0.14,0.18,1,37.6474590080064
"451",30,0.14,0.2,1,33.0234784081251
"452",30,0.16,0,1,49.9997324372054
"453",30,0.16,0.02,1,49.999093702372
"454",30,0.16,0.04,1,49.9795256482886
"455",30,0.16,0.06,1,49.8688134519841
"456",30,0.16,0.08,1,49.5245294074348
"457",30,0.16,0.1,1,48.7432767179266
"458",30,0.16,0.12,1,47.2936629048304
"459",30,0.16,0.14,1,44.9805046983799
"460",30,0.16,0.16,1,41.7288382756376
"461",30,0.16,0.18,1,37.6474590080064
"462",30,0.16,0.2,1,33.0234784081251
"463",30,0.18,0,1,49.9997324372054
"464",30,0.18,0.02,1,49.999093702372
"465",30,0.18,0.04,1,49.9795256482886
"466",30,0.18,0.06,1,49.8688134519841
"467",30,0.18,0.08,1,49.5245294074348
"468",30,0.18,0.1,1,48.7432767179266
"469",30,0.18,0.12,1,47.2936629048304
"470",30,0.18,0.14,1,44.9805046983799
"471",30,0.18,0.16,1,41.7288382756376
"472",30,0.18,0.18,1,37.6474590080064
"473",30,0.18,0.2,1,33.0234784081251
"474",30,0.2,0,1,49.9997324372054
"475",30,0.2,0.02,1,49.999093702372
"476",30,0.2,0.04,1,49.9795256482886
"477",30,0.2,0.06,1,49.8688134519841
"478",30,0.2,0.08,1,49.5245294074348
"479",30,0.2,0.1,1,48.7432767179266
"480",30,0.2,0.12,1,47.2936629048304
"481",30,0.2,0.14,1,44.9805046983799
"482",30,0.2,0.16,1,41.7288382756376
"483",30,0.2,0.18,1,37.6474590080064
"484",30,0.2,0.2,1,33.0234784081251
"485",18,0,0,0,49.9999578873965
"486",18,0,0.02,0,49.9996102526541
"487",18,0,0.04,0,49.994556266991
"488",18,0,0.06,0,49.9665072477592
"489",18,0,0.08,0,49.8713137500553
"490",18,0,0.1,0.1,49.6306793485523
"491",18,0,0.12,0.6,49.1289259598773
"492",18,0,0.14,0.9,48.2188173331867
"493",18,0,0.16,1,46.7419155964999
"494",18,0,0.18,1,44.5663596887487
"495",18,0,0.2,1,41.6358363952429
"496",18,0.02,0,0,49.9999578873965
"497",18,0.02,0.02,0,49.9996102526541
"498",18,0.02,0.04,0,49.994556266991
"499",18,0.02,0.06,0,49.9665072477592
"500",18,0.02,0.08,0,49.8713137500553
"501",18,0.02,0.1,0,49.6306793485523
"502",18,0.02,0.12,0,49.1289259598773
"503",18,0.02,0.14,0.2,48.2188173331867
"504",18,0.02,0.16,0.6,46.7419155964999
"505",18,0.02,0.18,0.8,44.5663596887487
"506",18,0.02,0.2,0.9,41.6358363952429
"507",18,0.04,0,0.4,49.9999578873965
"508",18,0.04,0.02,0,49.9996102526541
"509",18,0.04,0.04,0,49.994556266991
"510",18,0.04,0.06,0,49.9665072477592
"511",18,0.04,0.08,0,49.8713137500553
"512",18,0.04,0.1,0,49.6306793485523
"513",18,0.04,0.12,0,49.1289259598773
"514",18,0.04,0.14,0,48.2188173331867
"515",18,0.04,0.16,0,46.7419155964999
"516",18,0.04,0.18,0.2,44.5663596887487
"517",18,0.04,0.2,0.5,41.6358363952429
"518",18,0.06,0,1,49.9999578873965
"519",18,0.06,0.02,0.7,49.9996102526541
"520",18,0.06,0.04,0.3,49.994556266991
"521",18,0.06,0.06,0,49.9665072477592
"522",18,0.06,0.08,0,49.8713137500553
"523",18,0.06,0.1,0,49.6306793485523
"524",18,0.06,0.12,0,49.1289259598773
"525",18,0.06,0.14,0,48.2188173331867
"526",18,0.06,0.16,0,46.7419155964999
"527",18,0.06,0.18,0,44.5663596887487
"528",18,0.06,0.2,0,41.6358363952429
"529",18,0.08,0,1,49.9999578873965
"530",18,0.08,0.02,1,49.9996102526541
"531",18,0.08,0.04,1,49.994556266991
"532",18,0.08,0.06,0.7,49.9665072477592
"533",18,0.08,0.08,0.2,49.8713137500553
"534",18,0.08,0.1,0,49.6306793485523
"535",18,0.08,0.12,0,49.1289259598773
"536",18,0.08,0.14,0,48.2188173331867
"537",18,0.08,0.16,0,46.7419155964999
"538",18,0.08,0.18,0,44.5663596887487
"539",18,0.08,0.2,0,41.6358363952429
"540",18,0.1,0,1,49.9999578873965
"541",18,0.1,0.02,1,49.9996102526541
"542",18,0.1,0.04,1,49.994556266991
"543",18,0.1,0.06,1,49.9665072477592
"544",18,0.1,0.08,0.9,49.8713137500553
"545",18,0.1,0.1,0.6,49.6306793485523
"546",18,0.1,0.12,0,49.1289259598773
"547",18,0.1,0.14,0,48.2188173331867
"548",18,0.1,0.16,0,46.7419155964999
"549",18,0.1,0.18,0,44.5663596887487
"550",18,0.1,0.2,0,41.6358363952429
"551",18,0.12,0,1,49.9999578873965
"552",18,0.12,0.02,1,49.9996102526541
"553",18,0.12,0.04,1,49.994556266991
"554",18,0.12,0.06,1,49.9665072477592
"555",18,0.12,0.08,1,49.8713137500553
"556",18,0.12,0.1,1,49.6306793485523
"557",18,0.12,0.12,0.8,49.1289259598773
"558",18,0.12,0.14,0.3,48.2188173331867
"559",18,0.12,0.16,0,46.7419155964999
"560",18,0.12,0.18,0,44.5663596887487
"561",18,0.12,0.2,0,41.6358363952429
"562",18,0.14,0,1,49.9999578873965
"563",18,0.14,0.02,1,49.9996102526541
"564",18,0.14,0.04,1,49.994556266991
"565",18,0.14,0.06,1,49.9665072477592
"566",18,0.14,0.08,1,49.8713137500553
"567",18,0.14,0.1,1,49.6306793485523
"568",18,0.14,0.12,1,49.1289259598773
"569",18,0.14,0.14,1,48.2188173331867
"570",18,0.14,0.16,0.7,46.7419155964999
"571",18,0.14,0.18,0.3,44.5663596887487
"572",18,0.14,0.2,0,41.6358363952429
"573",18,0.16,0,1,49.9999578873965
"574",18,0.16,0.02,1,49.9996102526541
"575",18,0.16,0.04,1,49.994556266991
"576",18,0.16,0.06,1,49.9665072477592
"577",18,0.16,0.08,1,49.8713137500553
"578",18,0.16,0.1,1,49.6306793485523
"579",18,0.16,0.12,1,49.1289259598773
"580",18,0.16,0.14,1,48.2188173331867
"581",18,0.16,0.16,1,46.7419155964999
"582",18,0.16,0.18,1,44.5663596887487
"583",18,0.16,0.2,0.7,41.6358363952429
"584",18,0.18,0,1,49.9999578873965
"585",18,0.18,0.02,1,49.9996102526541
"586",18,0.18,0.04,1,49.994556266991
"587",18,0.18,0.06,1,49.9665072477592
"588",18,0.18,0.08,1,49.8713137500553
"589",18,0.18,0.1,1,49.6306793485523
"590",18,0.18,0.12,1,49.1289259598773
"591",18,0.18,0.14,1,48.2188173331867
"592",18,0.18,0.16,1,46.7419155964999
"593",18,0.18,0.18,1,44.5663596887487
"594",18,0.18,0.2,1,41.6358363952429
"595",18,0.2,0,1,49.9999578873965
"596",18,0.2,0.02,1,49.9996102526541
"597",18,0.2,0.04,1,49.994556266991
"598",18,0.2,0.06,1,49.9665072477592
"599",18,0.2,0.08,1,49.8713137500553
"600",18,0.2,0.1,1,49.6306793485523
"601",18,0.2,0.12,1,49.1289259598773
"602",18,0.2,0.14,1,48.2188173331867
"603",18,0.2,0.16,1,46.7419155964999
"604",18,0.2,0.18,1,44.5663596887487
"605",18,0.2,0.2,1,41.6358363952429
