"","nc","delta1","delta2","pow2","pow1","ess"
"291",15,0.08,0.08,0.913005,0.61,14.8904543164277
"292",15,0.08,0.1,0.913102,0.61,14.8420138530125
"293",15,0.08,0.12,0.913375,0.61,14.8117675530687
"294",15,0.08,0.14,0.91311,0.61,14.8635274244024
"295",15,0.08,0.16,0.912896,0.61,14.9197488052548
"296",15,0.08,0.18,0.912985,0.61,14.7535978953244
"297",15,0.08,0.2,0.913071,0.61,14.7856413004773
"298",15,0.1,0,0.9438,0.75,14.7945675120728
"299",15,0.1,0.02,0.943923,0.75,14.7551068680683
"300",15,0.1,0.04,0.943664,0.75,14.7823824939458
