"","nc","delta1","delta2","pow2","pow1","ess"
"410",20,0.08,0.04,0.743376,0.08,116.075144494254
"411",20,0.08,0.06,0.72669,0.04,115.560071117624
"412",20,0.08,0.08,0.736041,0.07,114.113607135916
"413",20,0.08,0.1,0.78119,0.14,111.310453159267
"414",20,0.08,0.12,0.837639,0.33,108.355324749273
"415",20,0.08,0.14,0.88724,0.49,103.994536531252
"416",20,0.08,0.16,0.923312,0.6,98.986849167983
"417",20,0.08,0.18,0.946766,0.73,93.0609321081472
"418",20,0.08,0.2,0.96087,0.79,85.9445058615713
"419",20,0.1,0,0.928774,0.59,116.908616028937
"420",20,0.1,0.02,0.876784,0.44,116.700048587758
"421",20,0.1,0.04,0.814612,0.21,116.075144494254
"422",20,0.1,0.06,0.751878,0.08,115.560071117624
"423",20,0.1,0.08,0.727679,0.04,114.113607135916
"424",20,0.1,0.1,0.733414,0.06,111.310453159267
"425",20,0.1,0.12,0.765883,0.1,108.355324749273
"426",20,0.1,0.14,0.819222,0.28,103.994536531252
"427",20,0.1,0.16,0.863217,0.39,98.986849167983
"428",20,0.1,0.18,0.898878,0.51,93.0609321081472
"429",20,0.1,0.2,0.923325,0.64,85.9445058615713
"430",20,0.12,0,0.967895,0.83,116.908616028937
"431",20,0.12,0.02,0.936737,0.64,116.700048587758
"432",20,0.12,0.04,0.887741,0.46,116.075144494254
"433",20,0.12,0.06,0.828452,0.25,115.560071117624
"434",20,0.12,0.08,0.763154,0.12,114.113607135916
"435",20,0.12,0.1,0.73054,0.04,111.310453159267
"436",20,0.12,0.12,0.730226,0.04,108.355324749273
"437",20,0.12,0.14,0.754282,0.09,103.994536531252
"438",20,0.12,0.16,0.797449,0.19,98.986849167983
"439",20,0.12,0.18,0.839283,0.33,93.0609321081472
"440",20,0.12,0.2,0.868978,0.45,85.9445058615713
"441",20,0.14,0,0.98757,0.92,116.908616028937
"442",20,0.14,0.02,0.97228,0.85,116.700048587758
"443",20,0.14,0.04,0.944131,0.7,116.075144494254
"444",20,0.14,0.06,0.899135,0.48,115.560071117624
"445",20,0.14,0.08,0.843009,0.31,114.113607135916
"446",20,0.14,0.1,0.777174,0.13,111.310453159267
"447",20,0.14,0.12,0.734329,0.06,108.355324749273
"448",20,0.14,0.14,0.726068,0.04,103.994536531252
"449",20,0.14,0.16,0.741169,0.09,98.986849167983
"450",20,0.14,0.18,0.77659,0.12,93.0609321081472
"451",20,0.14,0.2,0.810503,0.25,85.9445058615713
"452",20,0.16,0,0.995884,0.99,116.908616028937
"453",20,0.16,0.02,0.989445,0.94,116.700048587758
"454",20,0.16,0.04,0.976245,0.87,116.075144494254
"455",20,0.16,0.06,0.950887,0.72,115.560071117624
"456",20,0.16,0.08,0.911123,0.52,114.113607135916
"457",20,0.16,0.1,0.856424,0.36,111.310453159267
"458",20,0.16,0.12,0.794543,0.16,108.355324749273
"459",20,0.16,0.14,0.743463,0.08,103.994536531252
"460",20,0.16,0.16,0.7261,0.04,98.986849167983
"461",20,0.16,0.18,0.733478,0.04,93.0609321081472
"462",20,0.16,0.2,0.756176,0.08,85.9445058615713
"463",20,0.18,0,0.998824,1,116.908616028937
"464",20,0.18,0.02,0.996615,0.99,116.700048587758
"465",20,0.18,0.04,0.99121,0.95,116.075144494254
"466",20,0.18,0.06,0.979776,0.88,115.560071117624
"467",20,0.18,0.08,0.957602,0.77,114.113607135916
"468",20,0.18,0.1,0.922111,0.55,111.310453159267
"469",20,0.18,0.12,0.87106,0.38,108.355324749273
"470",20,0.18,0.14,0.813359,0.24,103.994536531252
